Accession,Lat,Lon,YearCollected,Fitness,Location,Season,YearPlanted
N7,61.9,34.6,2000,NA,Valencia,Fall,2007
N8,61.97,34.56,2000,NA,Valencia,Fall,2007
NFA-10,51.25,0.41,2000,NA,Valencia,Fall,2007
Omo2-1,56.25,15.25,2000,NA,Valencia,Fall,2007
Omo2-3,56.25,15.25,2000,NA,Valencia,Fall,2007
Ost-0,60.26,18.37,2000,NA,Valencia,Fall,2007
Pro-0,43.25,-6.02,2000,4997,Valencia,Fall,2007
Spr1-2,56.32,14.29,2000,NA,Valencia,Fall,2007
Spr1-6,56.32,14.29,2000,NA,Valencia,Fall,2007
Sq-1,51.25,0.41,2000,NA,Valencia,Fall,2007
Sq-8,51.25,0.41,2000,NA,Valencia,Fall,2007
Tamm-2,59.92,23.25,2000,3820.75,Valencia,Fall,2007
Tamm-27,59.92,23.25,2000,NA,Valencia,Fall,2007
Ull2-3,56.09,13.46,2000,NA,Valencia,Fall,2007
Ull2-5,56.09,13.46,2000,NA,Valencia,Fall,2007
Uod-1,48.07,14.53,2000,NA,Valencia,Fall,2007
Uod-7,48.07,14.53,2000,NA,Valencia,Fall,2007
Var2-1,55.42,14.25,2000,NA,Valencia,Fall,2007
Var2-6,55.42,14.25,2000,NA,Valencia,Fall,2007
Zdr-1,49.12,16.37,2000,NA,Valencia,Fall,2007
Zdr-6,49.12,16.37,2000,NA,Valencia,Fall,2007
Bas-1,51.84,79.48,2002,NA,Valencia,Fall,2007
Bas-2,51.82,79.48,2002,NA,Valencia,Fall,2007
Bas-3,51.84,79.46,2002,NA,Valencia,Fall,2007
Cha-1,53.6,79.39,2002,NA,Valencia,Fall,2007
Cha-2,53.6,79.37,2002,NA,Valencia,Fall,2007
Kly-1,51.34,82.57,2002,NA,Valencia,Fall,2007
Kly-2,51.31,82.59,2002,NA,Valencia,Fall,2007
Kly-3,51.36,82.59,2002,NA,Valencia,Fall,2007
Kly-4,51.32,82.55,2002,NA,Valencia,Fall,2007
Kly-5,51.32,82.55,2002,NA,Valencia,Fall,2007
Kly-6,51.33,82.54,2002,NA,Valencia,Fall,2007
Koz-1,51.35,82.18,2002,NA,Valencia,Fall,2007
Koz-2,51.33,82.19,2002,NA,Valencia,Fall,2007
Koz-3,51.34,82.16,2002,NA,Valencia,Fall,2007
Leb-1,51.65,80.79,2002,NA,Valencia,Fall,2007
Leb-2,51.67,80.82,2002,NA,Valencia,Fall,2007
Leb-3,51.66,80.82,2002,NA,Valencia,Fall,2007
Leb-4,51.63,80.83,2002,NA,Valencia,Fall,2007
Mas-3,54.13,81.31,2002,NA,Valencia,Fall,2007
Nos-1,51.87,80.6,2002,NA,Valencia,Fall,2007
1-Nov,51.75,80.82,2002,NA,Valencia,Fall,2007
2-Nov,51.77,80.85,2002,NA,Valencia,Fall,2007
3-Nov,51.73,80.86,2002,NA,Valencia,Fall,2007
Rak-2,51.84,80.06,2002,NA,Valencia,Fall,2007
Rak-3,51.84,80.06,2002,NA,Valencia,Fall,2007
Sev-1,52.1,79.31,2002,NA,Valencia,Fall,2007
Sij-1/72,41.45,70.05,2002,NA,Valencia,Fall,2007
Sij-4/82,41.45,70.05,2002,NA,Valencia,Fall,2007
Blh-2,48.29,19.85,NA,NA,Valencia,Fall,2007
M3385S,59.33,18.06,NA,NA,Valencia,Fall,2007
Sorbo,38.35,68.48,NA,NA,Valencia,Fall,2007
Utrecht,52.09,5.12,NA,NA,Valencia,Fall,2007
Br-0Ê,49.19,16.61,NA,1278.166667,Valencia,Fall,2007
Cen-0,49.18,-0.36,NA,NA,Valencia,Fall,2007
Cha-0,46.03,7.12,NA,NA,Valencia,Fall,2007
Edi-0,55.95,-3.19,NA,NA,Valencia,Fall,2007
Ei-2,50.25,6.67,NA,NA,Valencia,Fall,2007
Ei-4 ,50.25,6.67,NA,NA,Valencia,Fall,2007
Ei-6 ,50.25,6.67,NA,6423.777778,Valencia,Fall,2007
Hi-0,52.22,5.17,NA,NA,Valencia,Fall,2007
Ko-2,55.68,12.57,NA,NA,Valencia,Fall,2007
Ko-3,55.3,11.75,NA,NA,Valencia,Fall,2007
Le-0,52.16,4.49,NA,NA,Valencia,Fall,2007
Mh-1,53.52,20.2,NA,NA,Valencia,Fall,2007
Ms-0,55.76,37.62,NA,NA,Valencia,Fall,2007
Pf-0,48.55,9.11,NA,NA,Valencia,Fall,2007
Wil-2,54.69,25.28,NA,NA,Valencia,Fall,2007
